features.28,nindex
Objects on water,187
Water,22
Dark edges/corner,63
Horizontal line or\n green-yellow color,444
Human and doll faces,376
Green-blue,479
White objects/animals,446
Animal noses,431
Group of people,308
Lettering on white,397
Human faces with hat,152
Orange objects,334
Brown curved object,382
Round object with text,184
Domes and towers,483
Dark grid texture,468
Dark or bright spots,298
Dark eyes and/or\n water texture,441
Gray-brown color\n brushy texture,392
Seam and stitches,255
Colorful parts,93
Black shiny texture,36
Straight lines,289
Repeating curved lines,315
Dark bug-like,317
Blurred image,450
Brown dog fur,332
Multiple round objects,458
Brownish color,248
Short fluffy fur,443
The sky or ground,71
Corn texture,135
Black-white grid,409
Vertical lines,138
Dog face,223
Dark round edges,134
Circular lines,108
Bottles and domes,482
Brown/black pattern,78
Round dimpled objects,139
Thin long objects,297
Grid-pattern/arms,81
Striped/dotted,126
Striped objects,300
Person wearing a dress,496
Brown dog faces,459
Text on a sign,118
Thin red lines,451
Ice cream/beige,238
The left side of a food,84
Hand-shaped and colored,44
White-black checkered,398
Colorful clothing,210
Black plastic with\n gray parts,405
The side of vehicles,88
Rock formation,199
Dog ears,26
Boards with grid\n structure,489
Boards with text,163
Signs and screens\n with text,130
Horizontal lines,348
Dark circular objects,245
Black side/corner\n of an object,216
Gray-colored arch,448
Bars/pipes,454
Person with mask/\n animal face,29
Elephant head,320
Standing vertical \n objects,358
Jacket/overcoat,438
Roofs/lined,372
Humans with helmets,136
White colored with\n black spots,1
White food with\n whipped cream,502
Dog ears,463
Items that are connected,460
Vehicle wheels or\n brown dog head,62
Vehicle wheels,37
Clothing,436